PULocationID,mean_residual,mae,n_trips
24,0.13547203239081215,1.2099841917714764,1209
163,0.10445272161185142,1.4948183076152761,15591
100,0.08523286034874886,1.4449510211132943,7896
113,0.0835296263636691,1.1736444316755612,7390
144,0.08290494786658026,1.2662713336885578,4849
41,0.08223670025461725,1.1349947851711941,970
114,0.07493322751245303,1.1492298131868945,7598
125,0.07058858750904261,1.3549575536340137,2302
68,0.06183025231033545,1.5476772418888038,13861
4,0.061389909050681424,1.1335285395188766,550
186,0.0600335305055163,1.7004300257430178,20261
230,0.05867973994905798,1.5263444440536051,19203
249,0.04909195353722161,1.1958104634342774,11137
140,0.04245767538446442,1.4652178304526378,12030
161,0.03607644693335899,1.3964188990333368,27131
142,0.027726711299449293,1.18437582894949,18597
239,0.02690394353751619,1.120049227731601,15762
237,0.026657160357202444,1.2197666784924945,28629
43,0.025761937746023814,1.4924207980148336,8524
233,0.018569199547200647,1.4925551457191304,5130
234,0.012971125365401721,1.2268906670765192,14764
148,0.011931299994871336,1.1950201479550455,4389
45,0.005856510990349763,1.579901713910953,645
75,0.0038213819775330246,1.3696162801340457,2922
158,0.00012481722654795845,1.3448752864413014,4366
263,-0.0005930752205542876,1.0655388633991245,10681
48,-0.005244140138183454,1.2520778283366587,12949
79,-0.005884830536436856,1.1650585817620667,10995
90,-0.012754890791614895,1.250130553181091,7990
246,-0.013737626434287655,1.4994910305001932,9509
238,-0.018385172869250354,1.1461021249851824,11037
141,-0.01855579459536911,1.2014470747506338,13358
236,-0.02794632818898809,1.1983046772064503,26498
164,-0.029747830256139685,1.3416920628655415,11285
262,-0.0385298538142391,1.2274999872559085,7267
170,-0.0472987315851733,1.4456561235358023,14694
162,-0.05257891460767969,1.4687605813246327,19594
107,-0.06935807508413606,1.247430208318967,10400
211,-0.07402026149646396,1.306772436333717,3949
229,-0.07755051422843973,1.4697404448967932,9210
151,-0.0897751362494427,1.2077011185112483,4177
13,-0.10070212812511468,1.3249031696217193,2608
143,-0.11267783385897995,1.1946943812733732,5668
137,-0.1249476601234173,1.3807640076561585,5431
87,-0.13345360002754486,1.4739495222995473,1893
231,-0.14478791721285922,1.3920342132529644,6109
261,-0.15853095170223355,1.5612732149287032,2178
74,-0.16193344211711005,1.520338005681363,719
50,-0.21149520404326294,1.3037978414483806,2471
88,-0.2220937343165693,1.6682687939872103,1078
166,-0.26585732798583145,1.3060191636748602,2107
209,-0.37724666357040404,1.6146385264396668,640
